,Quarter,Tm,Detail,WAS,MIN
0,1.0,Vikings,Stu Voigt 18 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,1.0,Redskins,Mark Moseley 47 yard field goal,3,7
2,1.0,Vikings,Sammy White 27 yard pass from Fran Tarkenton (Fred Cox kick),3,14
3,2.0,Vikings,Chuck Foreman 2 yard rush (Fred Cox kick),3,21
4,3.0,Vikings,Chuck Foreman 30 yard rush (Fred Cox kick),3,28
5,3.0,Redskins,Mark Moseley 35 yard field goal,6,28
6,3.0,Vikings,Sammy White 9 yard pass from Fran Tarkenton (Fred Cox kick),6,35
7,4.0,Redskins,Frank Grant 12 yard pass from Billy Kilmer (Mark Moseley kick),13,35
8,4.0,Redskins,Roy Jefferson 3 yard pass from Billy Kilmer (Mark Moseley kick),20,35
