,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Tony Baker 1 yard rush (David Ray kick),0,7
1,2.0,Rams,Jack Snow 30 yard pass from John Hadl (David Ray kick),0,14
2,2.0,Rams,David Ray 20 yard field goal,0,17
3,4.0,Rams,Harold Jackson 5 yard pass from John Hadl (David Ray kick),0,24
