,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),0,7
1,2.0,Giants,Charlie Conerly 1 yard rush (Ben Agajanian kick),7,7
2,2.0,Browns,Dante Lavelli 16 yard pass from Otto Graham (Lou Groza kick),7,14
3,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),7,21
4,4.0,Browns,Lou Groza 17 yard field goal,7,24
5,4.0,Giants,Eddie Price 83 yard pass from Frank Gifford (Ben Agajanian kick),14,24
