,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Bill Dudley 96 yard punt return (Bill Dudley kick),7,0
1,2.0,Redskins,Eddie Saenz 34 yard pass from Sammy Baugh (Bill Dudley kick),14,0
2,2.0,Redskins,Bill Dudley 15 yard field goal,17,0
3,4.0,Redskins,Rob Goode 5 yard rush (Bill Dudley kick),24,0
4,4.0,Steelers,Elbie Nickel 65 yard pass from Joe Geri (Joe Geri kick),24,7
