,Quarter,Time,Tm,Detail,ARI,DAL
0,1.0,3:06,Cardinals,Bill Gramatica 27 yard field goal,3,0
1,2.0,1:09,Cowboys,Tim Seder 31 yard field goal,3,3
2,3.0,11:32,Cowboys,Clint Stoerner 6 yard rush (Tim Seder kick),3,10
3,3.0,1:55,Cowboys,Dexter Coakley 10 yard interception return (Tim Seder kick),3,17
