,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,,Dolphins,Pete Stoyanovich 49 yard field goal,3,0
1,2.0,,Dolphins,Pete Stoyanovich 44 yard field goal,6,0
2,2.0,,Dolphins,Pete Stoyanovich 48 yard field goal,9,0
3,3.0,,Jets,Wayne Chrebet 12 yard pass from Bubby Brister (Nick Lowery kick),9,7
4,3.0,,Jets,Nick Lowery 50 yard field goal,9,10
5,3.0,,Dolphins,Terry Kirby 2 yard rush (Pete Stoyanovich kick),16,10
6,4.0,,Jets,Johnny Mitchell 3 yard pass from Bubby Brister (Nick Lowery kick),16,17
