,Quarter,Tm,Detail,RAM,PIT
0,1.0,Steelers,Franco Harris 1 yard rush (David Trout kick),0,7
1,2.0,Steelers,Lynn Swann 9 yard pass from Terry Bradshaw (David Trout kick),0,14
2,2.0,Steelers,Terry Bradshaw 1 yard rush (David Trout kick),0,21
3,3.0,Steelers,David Trout 21 yard field goal,0,24
