,Quarter,Time,Tm,Detail,DAL,BUF
0,1.0,9:20,Bills,George Wilson 25 yard interception return (Rian Lindell kick),0,7
1,2.0,12:09,Cowboys,Jason Witten 22 yard pass from Tony Romo (Nick Folk kick),7,7
2,2.0,3:26,Bills,Rian Lindell 24 yard field goal,7,10
3,2.0,3:15,Bills,Chris Kelsay interception in end zone (Rian Lindell kick),7,17
4,2.0,0:00,Cowboys,Nick Folk 47 yard field goal,10,17
5,3.0,9:02,Cowboys,Nick Folk 29 yard field goal,13,17
6,3.0,8:48,Bills,Terrence McGee 103 yard kickoff return (Rian Lindell kick),13,24
7,4.0,14:47,Cowboys,Nick Folk 37 yard field goal,16,24
8,4.0,0:20,Cowboys,Patrick Crayton 4 yard pass from Tony Romo (pass failed),22,24
9,4.0,0:00,Cowboys,Nick Folk 53 yard field goal,25,24
