,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Johnny Olszewski 2 yard rush (Sam Baker kick),0,7
1,1.0,Cardinals,Bobby Joe Conrad 45 yard field goal,3,7
2,1.0,Redskins,Joe Walton 5 yard pass from Eddie LeBaron (Sam Baker kick),3,14
3,2.0,Redskins,Jim Podoley 20 yard pass from Eddie LeBaron (Sam Baker kick),3,21
4,2.0,Redskins,Jim Podoley 10 yard pass from Eddie LeBaron (Sam Baker kick),3,28
5,2.0,Redskins,Joe Walton 18 yard pass from Eddie LeBaron (Sam Baker kick),3,35
6,2.0,Cardinals,Gern Nagler 14 yard pass from Lamar McHan (Bobby Joe Conrad kick),10,35
7,2.0,Redskins,Sam Baker 17 yard field goal,10,38
8,3.0,Redskins,Joe Walton 38 yard pass from Eddie LeBaron (Sam Baker kick),10,45
9,3.0,Cardinals,Woodley Lewis 58 yard pass from Lamar McHan (Bobby Joe Conrad kick),17,45
10,3.0,Cardinals,Woodley Lewis 34 yard pass from Lamar McHan (Bobby Joe Conrad kick),24,45
11,4.0,Cardinals,Ollie Matson 8 yard pass from Lamar McHan (Bobby Joe Conrad kick),31,45
