,Quarter,Time,Tm,Detail,IND,NYG
0,1.0,0:48,Colts,Marvin Harrison 19 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,2.0,12:09,Giants,Cary Blanchard 33 yard field goal,7,3
2,2.0,2:45,Giants,Cary Blanchard 42 yard field goal,7,6
3,3.0,9:06,Colts,Marvin Harrison 57 yard pass from Peyton Manning (Mike Vanderjagt kick),14,6
4,3.0,4:24,Colts,Mike Vanderjagt 40 yard field goal,17,6
5,3.0,2:44,Colts,Terrence Wilkins 39 yard punt return (Mike Vanderjagt kick),24,6
6,4.0,14:17,Giants,Amani Toomer 33 yard pass from Kent Graham (pass failed),24,12
7,4.0,11:37,Colts,Mike Vanderjagt 35 yard field goal,27,12
8,4.0,6:50,Giants,Pete Mitchell 7 yard pass from Kent Graham (Cary Blanchard kick),27,19
