,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Howie Livingston 27 yard pass from Paul Governali (Ken Strong kick),0,7
1,1.0,Giants,Howie Livingston 53 yard pass from Paul Governali (Ken Strong kick),0,14
2,1.0,Redskins,Dick Poillon 17 yard field goal,3,14
3,3.0,Giants,Ray Poole 43 yard pass from Paul Governali (Ken Strong kick),3,21
4,4.0,Giants,Ray Poole 6 yard pass from Paul Governali (Ken Strong kick),3,28
5,4.0,Giants,George Cheverko 12 yard pass from Art Faircloth (Ken Strong kick),3,35
6,4.0,Redskins,Eddie Saenz 17 yard pass from Jim Youel (Dick Poillon kick),10,35
