,Quarter,Time,Tm,Detail,IND,BUF
0,2.0,14:55,Colts,Marcus Pollard 15 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,2.0,11:39,Bills,Nate Clements 66 yard punt return (Jake Arians kick),7,7
2,2.0,9:18,Colts,Peyton Manning 33 yard rush (Mike Vanderjagt kick),14,7
3,2.0,2:22,Colts,Mike Vanderjagt 34 yard field goal,17,7
4,3.0,7:09,Colts,Dominic Rhodes 1 yard rush (Mike Vanderjagt kick),24,7
5,4.0,9:14,Colts,Mike Vanderjagt 41 yard field goal,27,7
6,4.0,3:39,Bills,Jay Riemersma 27 yard pass from Rob Johnson (Jake Arians kick),27,14
7,4.0,1:07,Colts,Mike Vanderjagt 47 yard field goal,30,14
