,Quarter,Time,Tm,Detail,NYG,WAS
0,1.0,13:18,Redskins,Rod Gardner 12 yard pass from Tony Banks (Brett Conway kick),0,7
1,1.0,6:06,Redskins,Eric Metcalf 89 yard punt return (Brett Conway kick),0,14
2,2.0,6:39,Giants,Amani Toomer 6 yard pass from Kerry Collins (Morten Andersen kick),7,14
3,2.0,3:04,Giants,Ike Hilliard 27 yard pass from Kerry Collins (Morten Andersen kick),14,14
4,2.0,0:00,Redskins,Brett Conway 43 yard field goal,14,17
5,3.0,13:08,Redskins,Derrius Thompson 31 yard pass from Kevin Lockett (Brett Conway kick),14,24
6,3.0,3:23,Redskins,Brett Conway 20 yard field goal,14,27
7,4.0,13:58,Giants,Greg Comella 1 yard pass from Kerry Collins (Morten Andersen kick),21,27
8,4.0,6:41,Redskins,Michael Westbrook 76 yard pass from Tony Banks (Donnell Bennett pass from Tony Banks),21,35
