,Quarter,Tm,Detail,CHI,BAL
0,1.0,Bears,Billy Stone 23 yard rush (George Blanda kick),7,0
1,2.0,Colts,Bert Rechichar 36 yard interception return (Buck McPhail kick),7,7
2,2.0,Colts,Bert Rechichar 56 yard field goal,7,10
3,4.0,Bears,"Safety, Enke tackled in end zone by Hensley",9,10
4,4.0,Colts,Buck McPhail 19 yard field goal,9,13
