,Quarter,Time,Tm,Detail,PIT,BUF
0,1,7:06,Steelers,Rashard Mendenhall 1 yard rush (Shaun Suisham kick),7,0
1,2,14:45,Steelers,Shaun Suisham 45 yard field goal,10,0
2,2,0:03,Steelers,Shaun Suisham 46 yard field goal,13,0
3,3,3:45,Bills,Fred Jackson 65 yard pass from Ryan Fitzpatrick (Rian Lindell kick),13,7
4,4,13:32,Bills,Rian Lindell 29 yard field goal,13,10
5,4,11:25,Bills,Rian Lindell 32 yard field goal,13,13
6,4,6:19,Steelers,Shaun Suisham 48 yard field goal,16,13
7,4,0:02,Bills,Rian Lindell 49 yard field goal,16,16
8,OT,2:14,Steelers,Shaun Suisham 41 yard field goal,19,16
