,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,Irving Fryar 3 yard pass from Steve Grogan (Tony Franklin kick),7,0
1,1.0,Dolphins,Fuad Reveiz 47 yard field goal,7,3
2,1.0,Patriots,Stephen Starring 34 yard pass from Steve Grogan (Tony Franklin kick),14,3
3,2.0,Patriots,Tony Collins 5 yard rush (Tony Franklin kick),21,3
4,2.0,Patriots,Tony Franklin 31 yard field goal,24,3
5,4.0,Dolphins,James Pruitt 9 yard pass from Dan Marino (Fuad Reveiz kick),24,10
