,Quarter,Tm,Detail,BUF,PHI
0,3.0,Eagles,Calvin Williams 19 yard pass from Bubby Brister (Matt Bahr kick),0,7
1,4.0,Bills,Pete Metzelaars 2 yard pass from Frank Reich (Steve Christie kick),7,7
2,4.0,Bills,Steve Christie 34 yard field goal,10,7
