,Quarter,Time,Tm,Detail,MIA,JAX
0,1.0,15:00,Jaguars,Fred Taylor 77 yard rush (Mike Hollis kick),0,7
1,2.0,15:00,Jaguars,Fred Taylor 2 yard rush (Mike Hollis kick),0,14
2,2.0,15:00,Dolphins,Troy Drayton 2 yard pass from Dan Marino (Olindo Mare kick),7,14
3,3.0,15:00,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),14,14
4,3.0,15:00,Dolphins,Troy Drayton 15 yard pass from Dan Marino (Olindo Mare kick),21,14
5,4.0,15:00,Jaguars,Keenan McCardell 23 yard pass from Mark Brunell (Mike Hollis kick),21,21
6,4.0,2:44,Jaguars,Keenan McCardell 56 yard pass from Mark Brunell (Mike Hollis kick),21,28
