,Quarter,Time,Tm,Detail,ARI,DET
0,1.0,,Lions,Jason Hanson 21 yard field goal,0,3
1,2.0,,Lions,Brett Perriman 39 yard pass from Scott Mitchell (Jason Hanson kick),0,10
2,2.0,,Cardinals,Greg Davis 55 yard field goal,3,10
3,2.0,,Cardinals,Greg Davis 41 yard field goal,6,10
4,3.0,,Lions,Barry Sanders 47 yard rush (Jason Hanson kick),6,17
5,4.0,,Cardinals,Greg Davis 25 yard field goal,9,17
6,4.0,,Cardinals,Greg Davis 25 yard field goal,12,17
7,4.0,,Cardinals,Anthony Edwards 24 yard pass from Dave Krieg (Frank Sanders pass from Dave Krieg),20,17
