,Quarter,Time,Tm,Detail,CIN,PIT
0,1.0,8:25,Bengals,Randy Bullock 28 yard field goal,3,0
1,2.0,10:39,Steelers,James Conner 21 yard pass from Mason Rudolph (Chris Boswell kick),3,7
2,2.0,1:01,Steelers,Chris Boswell 29 yard field goal,3,10
3,3.0,10:40,Steelers,Jaylen Samuels 2 yard rush (Chris Boswell kick),3,17
4,3.0,9:32,Steelers,Diontae Johnson 43 yard pass from Mason Rudolph (Chris Boswell kick),3,24
5,4.0,5:56,Steelers,Chris Boswell 49 yard field goal,3,27
