,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Ray McLean 89 yard punt return (Frank Maznicki kick),0,7
1,1.0,Bears,Hampton Pool 40 yard pass from Sid Luckman (Joe Stydahar kick),0,14
2,1.0,Cardinals,Steve Lach 47 yard pass from Bud Schwenk (Bill Daddio kick),7,14
3,1.0,Bears,Bulldog Turner 42 yard interception return (Joe Stydahar kick),7,21
4,2.0,Bears,Ray McLean 67 yard pass from Charlie O'Rourke (Joe Stydahar kick),7,28
5,2.0,Cardinals,Bud Schwenk 6 yard rush (Bill Daddio kick),14,28
6,2.0,Bears,Gary Famiglietti 1 yard rush,14,34
7,4.0,Bears,Hampton Pool unknown yard pass from Charlie O'Rourke (Lee Artoe kick),14,41
