,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,4:10,Browns,Billy Cundiff 20 yard field goal,3,0
1,1.0,3:04,Browns,Billy Cundiff 28 yard field goal,6,0
2,1.0,2:19,Browns,Joe Haden 29 yard interception return (Billy Cundiff kick),13,0
3,2.0,14:52,Bengals,Jermaine Gresham 25 yard pass from Andy Dalton (Mike Nugent kick),13,7
4,2.0,11:49,Bengals,Mohamed Sanu 6 yard pass from Andy Dalton (Mike Nugent kick),13,14
5,2.0,4:35,Bengals,Tony Dye 24 yard blocked punt return (Mike Nugent kick),13,21
6,2.0,2:45,Bengals,Vontaze Burfict 13 yard defensive fumble return (Mike Nugent kick),13,28
7,2.0,0:01,Bengals,Mike Nugent 41 yard field goal,13,31
8,3.0,9:29,Browns,Josh Gordon 74 yard pass from Jason Campbell (Billy Cundiff kick),20,31
9,4.0,11:50,Bengals,Alex Smith 2 yard pass from Andy Dalton (Mike Nugent kick),20,38
10,4.0,8:04,Bengals,Mike Nugent 38 yard field goal,20,41
