,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,5:29,Eagles,Stanley Pritchett 1 yard rush (David Akers kick),7,0
1,2.0,11:32,Eagles,David Akers 31 yard field goal,10,0
2,2.0,0:25,Eagles,Donovan McNabb 3 yard rush (David Akers kick),17,0
3,3.0,9:16,Eagles,Chad Lewis 9 yard pass from Donovan McNabb (David Akers kick),24,0
4,3.0,4:33,Cardinals,David Boston 70 yard pass from Jake Plummer (Cary Blanchard kick),24,7
5,4.0,10:47,Cardinals,Michael Pittman 10 yard pass from Jake Plummer (Cary Blanchard kick),24,14
6,4.0,5:28,Eagles,Darnell Autry 1 yard rush (David Akers kick failed),30,14
7,4.0,2:44,Eagles,David Akers 29 yard field goal,33,14
