,Quarter,Time,Tm,Detail,BAL,IND
0,1.0,11:17,Colts,Mike Vanderjagt 24 yard field goal,0,3
1,2.0,13:04,Ravens,Matt Stover 42 yard field goal,3,3
2,2.0,0:01,Colts,Mike Vanderjagt 33 yard field goal,3,6
3,3.0,5:54,Colts,Marvin Harrison 29 yard pass from Peyton Manning (Mike Vanderjagt kick),3,13
4,3.0,0:28,Colts,Edgerrin James 3 yard rush (Mike Vanderjagt kick),3,20
5,4.0,12:50,Ravens,Todd Heap 13 yard pass from Kyle Boller (Matt Stover kick),10,20
