,Quarter,Time,Tm,Detail,BAL,CIN
0,1.0,12:58,Ravens,Ray Rice 70 yard rush (Shayne Graham kick),7,0
1,1.0,6:45,Ravens,Billy Cundiff 42 yard field goal,10,0
2,1.0,3:02,Bengals,Mike Nugent 46 yard field goal,10,3
3,2.0,0:11,Ravens,Dennis Pitta 9 yard pass from Joe Flacco (Billy Cundiff kick),17,3
4,3.0,3:26,Bengals,Bernard Scott 25 yard rush (Mike Nugent kick),17,10
5,4.0,12:35,Bengals,Mike Nugent 46 yard field goal,17,13
6,4.0,5:41,Ravens,Ray Rice 51 yard rush (Billy Cundiff kick),24,13
7,4.0,2:39,Bengals,Mike Nugent 23 yard field goal,24,16
