,Quarter,Tm,Detail,CLE,KAN
0,1.0,Browns,Don Cockroft 20 yard field goal,3,0
1,1.0,Chiefs,Jan Stenerud 21 yard field goal,3,3
2,2.0,Chiefs,Arnold Morgado 8 yard rush (Jan Stenerud kick),3,10
3,4.0,Chiefs,Arnold Morgado 2 yard rush (Jan Stenerud kick),3,17
