,Quarter,Tm,Detail,GNB,RAM
0,2.0,Rams,David Ray 44 yard field goal,0,3
1,2.0,Rams,Harold Jackson 46 yard pass from John Hadl (David Ray kick),0,10
2,3.0,Packers,Barry Smith 23 yard pass from MacArthur Lane (Chester Marcol kick),7,10
3,3.0,Rams,David Ray 40 yard field goal,7,13
4,4.0,Rams,Larry Smith 1 yard rush (David Ray kick),7,20
5,4.0,Rams,"Safety, Dryer tackled Hunter in end zone",7,22
6,4.0,Rams,"Safety, Dryer tackled Del Gaizo in end zone",7,24
