,Quarter,Tm,Detail,TAM,MIN
0,1,Buccaneers,Gary Anderson 2 yard rush (Steve Christie kick),7,0
1,2,Vikings,Donald Igwebuike 28 yard field goal,7,3
2,2,Buccaneers,Steve Christie 39 yard field goal,10,3
3,3,Buccaneers,Steve Christie 22 yard field goal,13,3
4,3,Vikings,Donald Igwebuike 32 yard field goal,13,6
5,4,Vikings,Anthony Carter 7 yard pass from Rich Gannon (Donald Igwebuike kick),13,13
6,4,Vikings,Hassan Jones 41 yard pass from Rich Gannon (Donald Igwebuike kick),13,20
7,4,Buccaneers,Bruce Hill 11 yard pass from Vinny Testaverde (Steve Christie kick),20,20
8,OT,Buccaneers,Steve Christie 36 yard field goal,23,20
