,Quarter,Tm,Detail,NYG,CRD
0,2.0,Cardinals,Bill Boyd 20 yard pass from Ernie Nevers (Ernie Nevers kick),0,7
1,4.0,Giants,Jack Hagerty 60 yard pass from Hap Moran,6,7
2,4.0,Giants,Hap Moran 2 yard rush (Hap Moran kick),13,7
