,Quarter,Tm,Detail,WAS,DEN
0,1.0,Broncos,Ricky Nattiel 56 yard pass from John Elway (Rich Karlis kick),0,7
1,1.0,Broncos,Rich Karlis 24 yard field goal,0,10
2,2.0,Redskins,Ricky Sanders 80 yard pass from Doug Williams (Ali Haji-Sheikh kick),7,10
3,2.0,Redskins,Gary Clark 27 yard pass from Doug Williams (Ali Haji-Sheikh kick),14,10
4,2.0,Redskins,Timmy Smith 58 yard rush (Ali Haji-Sheikh kick),21,10
5,2.0,Redskins,Ricky Sanders 50 yard pass from Doug Williams (Ali Haji-Sheikh kick),28,10
6,2.0,Redskins,Clint Didier 8 yard pass from Doug Williams (Ali Haji-Sheikh kick),35,10
7,4.0,Redskins,Timmy Smith 4 yard rush (Ali Haji-Sheikh kick),42,10
