,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Charlie Joiner 51 yard pass from Dan Pastorini (Skip Butler kick),0,7
1,2.0,Browns,Don Cockroft 33 yard field goal,3,7
2,2.0,Browns,Don Cockroft 33 yard field goal,6,7
3,2.0,Browns,Frank Pitts 27 yard pass from Mike Phipps (Don Cockroft kick),13,7
4,3.0,Oilers,Ken Burrough 80 yard pass from Dan Pastorini (Skip Butler kick),13,14
5,3.0,Browns,Don Cockroft 26 yard field goal,16,14
6,4.0,Oilers,Skip Butler 46 yard field goal,16,17
7,4.0,Browns,Mike Phipps 1 yard rush (Don Cockroft kick),23,17
