,Quarter,Time,Tm,Detail,SEA,MIN
0,2.0,10:05,Vikings,Percy Harvin 23 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,4:57,Vikings,Visanthe Shiancoe 8 yard pass from Brett Favre (Ryan Longwell kick),0,14
2,2.0,1:12,Vikings,Bernard Berrian 3 yard pass from Brett Favre (Ryan Longwell kick),0,21
3,3.0,4:08,Vikings,Sidney Rice 7 yard pass from Brett Favre (Ryan Longwell kick),0,28
4,3.0,0:43,Seahawks,Olindo Mare 40 yard field goal,3,28
5,4.0,10:21,Vikings,Sidney Rice 34 yard pass from Tarvaris Jackson (Ryan Longwell kick),3,35
6,4.0,8:05,Seahawks,Justin Forsett 1 yard rush (pass failed),9,35
