,Quarter,Tm,Detail,NOR,PHI
0,2,Saints,Wayne Wilson 21 yard pass from Ken Stabler (Morten Andersen kick),7,0
1,2,Eagles,Tony Franklin 23 yard field goal,7,3
2,3,Saints,George Rogers 4 yard rush (Morten Andersen kick),14,3
3,4,Saints,Morten Andersen 52 yard field goal,17,3
4,4,Eagles,Mike Quick 17 yard pass from Ron Jaworski (Tony Franklin kick),17,10
5,4,Eagles,Harold Carmichael 7 yard pass from Ron Jaworski (Tony Franklin kick),17,17
6,OT,Saints,Morten Andersen 50 yard field goal,20,17
