,Quarter,Time,Tm,Detail,IND,BUF
0,1.0,9:40,Colts,Mike Vanderjagt 27 yard field goal,3,0
1,1.0,5:22,Bills,Antowain Smith 21 yard rush (Steve Christie kick),3,7
2,2.0,14:07,Bills,Peerless Price 23 yard pass from Rob Johnson (Steve Christie kick),3,14
3,2.0,6:38,Colts,Mike Vanderjagt 24 yard field goal,6,14
4,2.0,0:27,Bills,Jonathan Linton 3 yard rush (Steve Christie kick),6,21
5,4.0,14:11,Bills,Bobby Collins 1 yard pass from Rob Johnson (Steve Christie kick),6,28
6,4.0,3:37,Bills,Steve Christie 19 yard field goal,6,31
