,Quarter,Tm,Detail,CRD,GNB
0,2.0,Packers,Carl Mulleneaux 26 yard pass from Arnie Herber (Tiny Engebretsen kick),0,7
1,2.0,Packers,Ed Jankowski 2 yard rush (Tiny Engebretsen kick),0,14
2,3.0,Cardinals,Sam Agee 2 yard rush (Bill Smith kick),7,14
3,4.0,Cardinals,Bill Smith 39 yard field goal,10,14
