,Quarter,Tm,Detail,STL,SFO
0,1.0,49ers,Sonny Randle 29 yard pass from John Brodie (Tommy Davis kick),0,7
1,1.0,Cardinals,Roy Shivers 16 yard pass from Jim Hart (Jim Bakken kick),7,7
2,2.0,49ers,John David Crow 50 yard pass from John Brodie (Tommy Davis kick),7,14
3,2.0,Cardinals,Jim Bakken 27 yard field goal,10,14
4,3.0,49ers,Clifton McNeil 11 yard pass from John Brodie (Tommy Davis kick),10,21
5,4.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),10,28
6,4.0,Cardinals,Don Brumm 17 yard special teams fumble return (Jim Bakken kick),17,28
7,4.0,49ers,Kay McFarland 43 yard pass from George Mira (Tommy Davis kick),17,35
