,Quarter,Tm,Detail,GNB,CLE
0,1.0,Packers,Jim Taylor 26 yard rush (Paul Hornung kick),7,0
1,1.0,Packers,Jim Taylor 1 yard rush (Paul Hornung kick),14,0
2,2.0,Browns,Lou Groza 27 yard field goal,14,3
3,2.0,Packers,Paul Hornung 3 yard rush (Paul Hornung kick),21,3
4,3.0,Packers,Jim Taylor 45 yard rush (Paul Hornung kick),28,3
5,3.0,Browns,Gern Nagler 21 yard pass from Milt Plum (Lou Groza kick),28,10
6,4.0,Packers,Jim Taylor 4 yard rush (Paul Hornung kick),35,10
7,4.0,Browns,Ray Renfro 13 yard pass from Milt Plum (Lou Groza kick),35,17
8,4.0,Packers,Max McGee 45 yard pass from Bart Starr (Paul Hornung kick),42,17
9,4.0,Packers,John Roach 1 yard rush (Paul Hornung kick),49,17
