,Quarter,Tm,Detail,DAL,ATL
0,1.0,Falcons,Norm Johnson 26 yard field goal,0,3
1,2.0,Falcons,Norm Johnson 24 yard field goal,0,6
2,2.0,Falcons,Mike Pritchard 13 yard pass from Bobby Hebert (Norm Johnson kick),0,13
3,3.0,Falcons,Mike Pritchard 11 yard pass from Bobby Hebert (Norm Johnson kick),0,20
4,3.0,Cowboys,Scott Galbraith 1 yard pass from Bernie Kosar (Eddie Murray kick),7,20
5,4.0,Falcons,Deion Sanders 70 yard pass from Bobby Hebert (Norm Johnson kick),7,27
6,4.0,Cowboys,Kevin Williams 28 yard pass from Bernie Kosar (Eddie Murray kick),14,27
