,Quarter,Tm,Detail,MIN,MIA
0,2.0,Vikings,Sammy White 9 yard pass from Fran Tarkenton,6,0
1,2.0,Vikings,Sammy White 36 yard pass from Fran Tarkenton,12,0
2,2.0,Vikings,Fred Cox 30 yard field goal,15,0
3,3.0,Vikings,Brent McClanahan 1 yard rush (Fred Cox kick),22,0
4,3.0,Vikings,Sammy White 7 yard pass from Fran Tarkenton (Fred Cox kick),29,0
5,4.0,Dolphins,Stan Winfrey 2 yard pass from Don Strock (Garo Yepremian kick),29,7
