,Quarter,Time,Tm,Detail,MIN,BUF
0,2.0,7:36,Vikings,Greg Davis 21 yard field goal,3,0
1,2.0,7:36,Bills,Jay Riemersma 19 yard pass from Todd Collins (Steve Christie kick),3,7
2,2.0,7:36,Vikings,Cris Carter 6 yard pass from Brad Johnson (Greg Davis kick),10,7
3,3.0,7:36,Vikings,Greg Davis 43 yard field goal,13,7
4,4.0,7:36,Bills,Steve Christie 28 yard field goal,13,10
5,4.0,7:36,Vikings,Robert Smith 78 yard rush (Greg Davis kick),20,10
6,4.0,7:36,Vikings,Jeff Brady 30 yard defensive fumble return (Greg Davis kick),27,10
7,4.0,7:36,Bills,Steve Christie 46 yard field goal,27,13
8,4.0,7:36,Vikings,Cris Carter 35 yard pass from Brad Johnson (Greg Davis kick),34,13
