,Quarter,Tm,Detail,CLE,CRD
0,1.0,Browns,Ed Modzelewski 5 yard rush (Lou Groza kick),7,0
1,1.0,Cardinals,Pat Summerall 20 yard field goal,7,3
2,2.0,Browns,Don Paul 60 yard punt return (Lou Groza kick),14,3
3,2.0,Browns,Ray Renfro 4 yard pass from Otto Graham (Lou Groza kick),21,3
4,2.0,Cardinals,Pat Summerall 14 yard field goal,21,6
5,3.0,Browns,"Safety, Noll blocked punt out of end zone",23,6
6,3.0,Cardinals,Lamar McHan 1 yard rush (Pat Summerall kick),23,13
7,3.0,Browns,Lou Groza 44 yard field goal,26,13
8,4.0,Cardinals,Don Stonesifer 18 yard pass from Dave Mann (Pat Summerall kick),26,20
