,Quarter,Tm,Detail,BAL,NYJ
0,2.0,Colts,Bert Jones 12 yard rush (Steve Mike-Mayer kick),7,0
1,3.0,Colts,Cleveland Franklin 1 yard rush (Steve Mike-Mayer kick),14,0
2,3.0,Jets,Richard Todd 3 yard rush (Pat Leahy kick),14,7
3,3.0,Jets,Darrol Ray 75 yard defensive fumble return (Pat Leahy kick),14,14
4,4.0,Colts,Steve Mike-Mayer 46 yard field goal,17,14
