,Quarter,Tm,Detail,SFO,CHI
0,1.0,49ers,Joe Perry 1 yard rush (Gordie Soltau kick),7,0
1,1.0,Bears,"Safety, Tittle stepped out of end zone",7,2
2,1.0,49ers,Joe Perry 5 yard rush (Gordie Soltau kick),14,2
3,2.0,Bears,Fred Morrison 2 yard rush (George Blanda kick),14,9
4,2.0,49ers,Hugh McElhenny 94 yard punt return (Gordie Soltau kick),21,9
5,3.0,49ers,Joe Perry 3 yard rush (Gordie Soltau kick),28,9
6,3.0,49ers,Gordie Soltau 26 yard field goal,31,9
7,4.0,Bears,Gene Schroeder 31 yard pass from Steve Romanik (George Blanda kick),31,16
8,4.0,49ers,"Safety, Williams tackled in end zone by Momsen",33,16
9,4.0,49ers,Bob White 4 yard rush (Gordie Soltau kick),40,16
