,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,2:18,Colts,Anthony Gonzalez 12 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
1,2.0,10:20,Patriots,Stephen Gostkowski 29 yard field goal,3,7
2,2.0,1:27,Patriots,Stephen Gostkowski 35 yard field goal,6,7
3,3.0,7:12,Patriots,BenJarvus Green-Ellis 6 yard rush (run failed),12,7
4,3.0,3:12,Colts,Anthony Gonzalez 9 yard pass from Peyton Manning (Reggie Wayne pass from Peyton Manning),12,15
5,4.0,11:33,Patriots,Stephen Gostkowski 25 yard field goal,15,15
6,4.0,8:05,Colts,Adam Vinatieri 52 yard field goal,15,18
