,Quarter,Tm,Detail,RAI,DEN
0,1.0,Broncos,David Treadwell 19 yard field goal,0,3
1,1.0,Raiders,Andrew Glover 11 yard pass from Marcus Allen (Jeff Jaeger kick),7,3
2,2.0,Broncos,John Elway 7 yard rush (David Treadwell kick),7,10
3,3.0,Raiders,Tim Brown 23 yard pass from Jay Schroeder (Jeff Jaeger kick),14,10
4,3.0,Raiders,Jeff Jaeger 20 yard field goal,17,10
5,4.0,Broncos,Vance Johnson 10 yard pass from John Elway,17,16
