,Quarter,Time,Tm,Detail,ARI,LAC
0,1.0,10:20,Cardinals,Larry Fitzgerald 25 yard pass from Josh Rosen (Phil Dawson kick),7,0
1,1.0,4:22,Cardinals,Phil Dawson 30 yard field goal,10,0
2,2.0,14:12,Chargers,Mike Williams 9 yard pass from Philip Rivers (Michael Badgley kick),10,7
3,2.0,6:59,Chargers,Melvin Gordon 28 yard rush (Michael Badgley kick),10,14
4,2.0,4:16,Chargers,Melvin Gordon 5 yard rush (Michael Badgley kick),10,21
5,2.0,0:08,Chargers,Mike Williams 2 yard pass from Philip Rivers (Michael Badgley kick),10,28
6,3.0,8:01,Chargers,Keenan Allen 4 yard pass from Philip Rivers (Michael Badgley kick),10,35
7,3.0,0:00,Chargers,Austin Ekeler 2 yard rush (Michael Badgley kick),10,42
8,4.0,3:25,Chargers,Michael Badgley 31 yard field goal,10,45
