,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Robert Clark 4 yard pass from Rodney Peete (Eddie Murray kick),0,7
1,2.0,Packers,Chris Jacke 34 yard field goal,3,7
2,2.0,Packers,Ed West 3 yard pass from Don Majkowski (Chris Jacke kick),10,7
3,2.0,Lions,Barry Sanders 3 yard rush (Eddie Murray kick),10,14
4,3.0,Lions,Rodney Peete 7 yard rush (Eddie Murray kick),10,21
5,4.0,Packers,Michael Haddix 4 yard pass from Don Majkowski (Chris Jacke kick),17,21
6,4.0,Packers,Jeff Query 26 yard pass from Don Majkowski (Chris Jacke kick),24,21
