,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,10:41,Saints,Doug Brien 29 yard field goal,0,3
1,1.0,5:39,Rams,Robert Holcombe 1 yard pass from Kurt Warner (Jeff Wilkins kick),7,3
2,1.0,1:29,Saints,Doug Brien 26 yard field goal,7,6
3,2.0,9:09,Saints,Cam Cleeland 2 yard pass from Billy Joe Tolliver (Eddie Kennison pass from Billy Joe Tolliver),7,14
4,2.0,7:24,Rams,Jeff Wilkins 40 yard field goal,10,14
5,2.0,3:28,Rams,Marshall Faulk 4 yard rush (Jeff Wilkins kick),17,14
6,2.0,0:51,Rams,Marshall Faulk 30 yard pass from Kurt Warner (Jeff Wilkins kick),24,14
7,3.0,5:40,Rams,Jeff Wilkins 30 yard field goal,27,14
8,4.0,2:29,Rams,Jeff Wilkins 38 yard field goal,30,14
