,Quarter,Time,Tm,Detail,DEN,SEA
0,2.0,,Seahawks,Chris Warren 1 yard rush (Todd Peterson kick),0,7
1,2.0,,Seahawks,Todd Peterson 45 yard field goal,0,10
2,3.0,,Seahawks,Chris Warren 4 yard rush (Todd Peterson kick),0,17
3,3.0,,Broncos,Jason Elam 30 yard field goal,3,17
4,4.0,,Seahawks,Chris Warren 4 yard rush (Todd Peterson kick),3,24
5,4.0,,Broncos,Mike Pritchard 26 yard pass from John Elway (Jason Elam kick),10,24
6,4.0,,Seahawks,Todd Peterson 19 yard field goal,10,27
