,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Raul Allegre 38 yard field goal,0,3
1,1.0,Giants,Raul Allegre 46 yard field goal,0,6
2,1.0,Eagles,Roger Ruzek 37 yard field goal,3,6
3,2.0,Eagles,Anthony Toney 18 yard pass from Keith Byars (Roger Ruzek kick),10,6
4,3.0,Giants,Rodney Hampton 12 yard pass from Phil Simms (Raul Allegre kick),10,13
5,3.0,Giants,Dave Meggett 68 yard punt return (Raul Allegre kick),10,20
6,4.0,Giants,Mark Ingram 41 yard pass from Phil Simms (Raul Allegre kick),10,27
7,4.0,Eagles,Randall Cunningham 1 yard rush (Roger Ruzek kick),17,27
8,4.0,Eagles,Roger Ruzek 29 yard field goal,20,27
