,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Dan Ross 1 yard pass from Ken Anderson (Jim Breech kick),7,0
1,1.0,Oilers,Florian Kempf 35 yard field goal,7,3
2,1.0,Bengals,Archie Griffin 10 yard rush (Jim Breech kick),14,3
3,2.0,Oilers,Donnie Craft 9 yard rush (Florian Kempf kick),14,10
4,2.0,Oilers,Florian Kempf 37 yard field goal,14,13
5,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),21,13
6,3.0,Bengals,Isaac Curtis 44 yard pass from Ken Anderson (Jim Breech kick),28,13
7,4.0,Oilers,Dave Casper 5 yard pass from Gifford Nielsen (Florian Kempf kick),28,20
8,4.0,Bengals,Charles Alexander 4 yard rush (Jim Breech kick),35,20
9,4.0,Oilers,Donnie Craft 3 yard rush (Florian Kempf kick),35,27
