,Quarter,Tm,Detail,CLE,STL
0,1.0,Cardinals,Steve Neils 72 yard defensive fumble return,0,6
1,1.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),7,6
2,1.0,Browns,Don Cockroft 51 yard field goal,10,6
3,2.0,Cardinals,Ottis Anderson 3 yard rush (Gary Parris pass from Roger Wehrli),10,13
4,3.0,Browns,Pat Moriarty 1 yard rush (Don Cockroft kick),17,13
5,4.0,Browns,Dave Logan 6 yard pass from Brian Sipe (Don Cockroft kick),24,13
6,4.0,Browns,Cleo Miller 39 yard rush (Don Cockroft kick),31,13
7,4.0,Browns,Dino Hall 52 yard rush (Don Cockroft kick),38,13
8,4.0,Cardinals,Pat Tilley 24 yard pass from Steve Pisarkiewicz (Steve Little kick),38,20
