,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Bill Dudley 15 yard field goal,0,3
1,2.0,Redskins,Joe Tereshinski 16 yard pass from Sammy Baugh (Bill Dudley kick),0,10
2,4.0,Steelers,Lynn Chandnois 40 yard pass from Jim Finks (Joe Geri kick),7,10
3,4.0,Steelers,Fran Rogel 3 yard rush (Joe Geri kick),14,10
4,4.0,Steelers,Joe Geri 4 yard rush,20,10
