,Quarter,Time,Tm,Detail,ATL,BAL
0,1.0,11:47,Ravens,Owen Daniels 5 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,2.0,2:38,Ravens,Bernard Pierce 1 yard rush (Justin Tucker kick),0,14
2,2.0,0:00,Ravens,Justin Tucker 38 yard field goal,0,17
3,3.0,11:28,Ravens,Justin Tucker 38 yard field goal,0,20
4,4.0,7:12,Falcons,Roddy White 4 yard pass from Matt Ryan (Matt Bryant kick),7,20
5,4.0,3:44,Ravens,"Safety, Matt Ryan sacked in the endzone by Terrell Suggs.",7,22
6,4.0,1:46,Ravens,Torrey Smith 39 yard pass from Joe Flacco (Justin Tucker kick),7,29
