,Quarter,Time,Tm,Detail,CHI,DEN
0,1.0,9:50,Broncos,Brandon McManus 43 yard field goal,0,3
1,2.0,13:39,Bears,Eddy Pineiro 40 yard field goal,3,3
2,2.0,5:15,Bears,Eddy Pineiro 52 yard field goal,6,3
3,3.0,1:17,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),13,3
4,4.0,13:40,Broncos,Brandon McManus 32 yard field goal,13,6
5,4.0,0:37,Broncos,Emmanuel Sanders 7 yard pass from Joe Flacco (Emmanuel Sanders pass from Joe Flacco),13,14
6,4.0,0:01,Bears,Eddy Pineiro 53 yard field goal,16,14
