,Quarter,Tm,Detail,SFO,SEA
0,1.0,Seahawks,James Jones 1 yard rush,0,6
1,2.0,49ers,Harry Sydney 3 yard pass from Steve Bono (Mike Cofer kick),7,6
2,2.0,Seahawks,John Kasay 27 yard field goal,7,9
3,2.0,49ers,Mike Cofer 50 yard field goal,10,9
4,3.0,49ers,Jerry Rice 9 yard pass from Steve Bono (Mike Cofer kick),17,9
5,3.0,Seahawks,John Williams 5 yard rush (John Kasay kick),17,16
6,4.0,Seahawks,John Kasay 25 yard field goal,17,19
7,4.0,Seahawks,John Kasay 38 yard field goal,17,22
8,4.0,49ers,John Taylor 15 yard pass from Steve Bono (Mike Cofer kick),24,22
