,Quarter,Tm,Detail,CLE,NYJ
0,1.0,Browns,Bo Scott 27 yard rush (Don Cockroft kick),7,0
1,1.0,Jets,Emerson Boozer 3 yard rush (Bobby Howfield kick),7,7
2,2.0,Browns,Don Cockroft 8 yard field goal,10,7
3,3.0,Jets,Bobby Howfield 19 yard field goal,10,10
4,3.0,Browns,Frank Pitts 80 yard pass from Mike Phipps (Don Cockroft kick),17,10
5,4.0,Browns,Frank Pitts 7 yard pass from Mike Phipps,23,10
6,4.0,Browns,Don Cockroft 13 yard field goal,26,10
