,Quarter,Tm,Detail,PIT,PHI
0,1.0,Steelers,George Kiick 1 yard rush,6,0
1,1.0,Eagles,Abe Karnofsky 12 yard rush (Roy Zimmerman kick),6,7
2,2.0,Eagles,Steve Van Buren 3 yard rush,6,13
3,3.0,Eagles,Roy Zimmerman 30 yard field goal,6,16
4,3.0,Eagles,Steve Van Buren 6 yard rush (Roy Zimmerman kick),6,23
5,4.0,Eagles,Ernie Steele 41 yard rush (John Rogalla kick),6,30
