,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,Curt Knight 19 yard field goal,0,3
1,2.0,Rams,Bruce Gossett 20 yard field goal,3,3
2,2.0,Rams,Bob Klein 1 yard pass from Roman Gabriel (Bruce Gossett kick),10,3
3,2.0,Redskins,Curt Knight 19 yard field goal,10,6
4,4.0,Rams,Billy Truax 3 yard pass from Roman Gabriel (Bruce Gossett kick),17,6
5,4.0,Redskins,Charlie Harraway 1 yard rush (Curt Knight kick),17,13
6,4.0,Rams,Willie Ellison 6 yard rush (Bruce Gossett kick),24,13
