,Quarter,Tm,Detail,NYJ,CHI
0,1.0,Jets,Rich Caster 30 yard pass from Joe Namath,6,0
1,2.0,Jets,Jazz Jackson 24 yard offensive fumble return (Bobby Howfield kick),13,0
2,2.0,Jets,Emerson Boozer 3 yard rush (Bobby Howfield kick),20,0
3,3.0,Bears,Carl Garrett 11 yard pass from Gary Huff (Mirro Roder kick),20,7
4,3.0,Bears,Bob Parsons 4 yard pass from Gary Huff (Mirro Roder kick),20,14
5,4.0,Jets,Bobby Howfield 39 yard field goal,23,14
6,4.0,Bears,Jim Harrison 1 yard rush (Mirro Roder kick),23,21
