,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,Dwight Clark 44 yard pass from Joe Montana (Ray Wersching kick),0,7
1,1.0,49ers,Freddie Solomon 3 yard pass from Joe Montana (Ray Wersching kick),0,14
2,2.0,Vikings,Darrin Nelson 5 yard rush (Jan Stenerud kick),7,14
3,2.0,49ers,Wendell Tyler 5 yard rush (Ray Wersching kick),7,21
4,2.0,49ers,Renaldo Nehemiah 59 yard pass from Joe Montana (Ray Wersching kick),7,28
5,2.0,49ers,Ray Wersching 41 yard field goal,7,31
6,3.0,49ers,Ray Wersching 25 yard field goal,7,34
7,3.0,49ers,Ray Wersching 38 yard field goal,7,37
8,4.0,49ers,Derrick Harmon 3 yard rush (Ray Wersching kick),7,44
9,4.0,49ers,Bill Ring 15 yard rush (Ray Wersching kick),7,51
