,Quarter,Time,Tm,Detail,NYJ,WAS
0,1.0,11:58,Jets,Daniel Brown 20 yard pass from Sam Darnold (Sam Ficken kick failed),6,0
1,2.0,14:06,Jets,Robby Anderson 6 yard pass from Sam Darnold (Sam Ficken kick),13,0
2,2.0,9:09,Redskins,Dustin Hopkins 44 yard field goal,13,3
3,2.0,0:41,Jets,Ryan Griffin 16 yard pass from Sam Darnold (Sam Ficken kick),20,3
4,4.0,13:18,Jets,Jamison Crowder 29 yard pass from Sam Darnold (Sam Ficken kick),27,3
5,4.0,12:20,Jets,Le'Veon Bell 1 yard rush (Sam Ficken kick),34,3
6,4.0,10:11,Redskins,Derrius Guice 45 yard pass from Dwayne Haskins (Trey Quinn pass from Dwayne Haskins ),34,11
7,4.0,1:15,Redskins,Jeremy Sprinkle 1 yard pass from Dwayne Haskins (pass failed),34,17
