,Quarter,Tm,Detail,FRN,PRT
0,3.0,Spartans,Elmer Schwartz 26 yard rush,0,6
1,4.0,Spartans,Dutch Clark unknown yard rush (Glenn Presnell pass from Dutch Clark),0,13
2,4.0,Spartans,Dutch Clark 33 yard rush,0,19
