,Quarter,Time,Tm,Detail,MIN,TEN
0,1.0,4:45,Titans,Ryan Succop 28 yard field goal,0,3
1,2.0,0:41,Titans,DeMarco Murray 6 yard pass from Marcus Mariota (Ryan Succop kick),0,10
2,3.0,13:56,Vikings,Blair Walsh 50 yard field goal,3,10
3,3.0,5:59,Vikings,Blair Walsh 33 yard field goal,6,10
4,3.0,1:24,Vikings,Eric Kendricks 77 yard interception return (Blair Walsh kick failed),12,10
5,4.0,11:17,Vikings,Blair Walsh 45 yard field goal,15,10
6,4.0,11:03,Vikings,Danielle Hunter 24 yard defensive fumble return (Blair Walsh kick),22,10
7,4.0,2:36,Vikings,Blair Walsh 30 yard field goal,25,10
8,4.0,0:28,Titans,DeMarco Murray 4 yard pass from Marcus Mariota (pass failed),25,16
